n,heuristique,time,cpu_time,recursivite,branche_close
7,1,0.0009970664978027344,0.0,14,4
7,2,0.002984762191772461,0.0,33,13
7,3,0.003989458084106445,0.0,29,12
7,4,0.0009965896606445312,0.0,16,5
7,5,0.002980947494506836,0.0,29,12
7,6,0.002992391586303711,0.0,29,12
8,1,0.057845115661621094,0.0625,649,321
8,2,0.009973526000976562,0.015625,96,45
8,3,0.009978771209716797,0.0,49,22
8,4,0.02644205093383789,0.0,232,113
8,5,0.003988742828369141,0.0,49,22
8,6,0.004988193511962891,0.0,37,16
9,1,0.009972095489501953,0.015625,114,53
9,2,0.008975744247436523,0.015625,93,43
9,3,0.013962507247924805,0.015625,51,23
9,4,0.007124900817871094,0.015625,85,39
9,5,0.006981849670410156,0.0,51,23
9,6,0.004971504211425781,0.015625,49,22
10,1,0.04955792427062988,0.046875,502,246
10,2,0.004986286163330078,0.015625,20,6
10,3,0.05977010726928711,0.046875,277,136
10,4,0.021941661834716797,0.015625,214,103
10,5,0.03390908241271973,0.046875,277,136
10,6,0.018949270248413086,0.015625,153,74
11,1,0.01795220375061035,0.015625,141,66
11,2,0.019946813583374023,0.015625,126,58
11,3,0.10971856117248535,0.109375,471,232
11,4,0.011967897415161133,0.0,112,52
11,5,0.0713188648223877,0.0625,471,232
11,6,0.0608370304107666,0.0625,466,229
12,1,0.16455960273742676,0.15625,1293,641
12,2,0.03391003608703613,0.03125,224,107
12,3,0.3071784973144531,0.28125,1246,619
12,4,0.08975887298583984,0.078125,472,232
12,5,0.26628780364990234,0.234375,1254,623
12,6,0.09873652458190918,0.109375,707,350
13,1,0.052858591079711914,0.03125,300,145
13,2,0.03789806365966797,0.03125,230,110
13,3,0.2890794277191162,0.28125,913,453
13,4,0.036900997161865234,0.03125,203,97
13,5,0.16356301307678223,0.125,917,455
13,6,0.1216738224029541,0.109375,755,373
